assetId,canonicalPath,family,kind,extension,bytes,crc32,status,exclusionReason,sourceArchive,licenseStatus,duplicateCount
NSA-96cab8ce-18326,nexsas-images/ai-agency/images/badge/badge-1.svg,ai-agency,vector,svg,18326,96cab8ce,production-candidate,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,5
NSA-7e4d4715-27802,nexsas-images/ai-agency/images/badge/badge-2.svg,ai-agency,vector,svg,27802,7e4d4715,production-candidate,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,5
NSA-0ebe17ac-21257,nexsas-images/ai-agency/images/badge/badge-3.svg,ai-agency,vector,svg,21257,0ebe17ac,production-candidate,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,5
NSA-6c70fb64-13077,nexsas-images/ai-agency/images/badge/badge-4.svg,ai-agency,vector,svg,13077,6c70fb64,production-candidate,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,5
NSA-a0da7b08-22209,nexsas-images/ai-agency/images/badge/badge-5.svg,ai-agency,vector,svg,22209,a0da7b08,production-candidate,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,5
NSA-a05ee1db-859,nexsas-images/ai-agency/images/icons/apple.svg,ai-agency,icon,svg,859,a05ee1db,production-candidate,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,5
NSA-1e068b71-5886,nexsas-images/ai-agency/images/icons/asana-metal.svg,ai-agency,icon,svg,5886,1e068b71,production-candidate,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,5
NSA-f1e54cdb-5672,nexsas-images/ai-agency/images/icons/asana-v2.svg,ai-agency,icon,svg,5672,f1e54cdb,production-candidate,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,5
NSA-0f68fe51-1617,nexsas-images/ai-agency/images/icons/behance.svg,ai-agency,icon,svg,1617,0f68fe51,production-candidate,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,3
NSA-a4be5a03-535,nexsas-images/ai-agency/images/icons/checkmark-white.svg,ai-agency,icon,svg,535,a4be5a03,production-candidate,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,5
NSA-e0d06d0e-4647,nexsas-images/ai-agency/images/icons/client-logo-1.svg,ai-agency,client-logo,svg,4647,e0d06d0e,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,7
NSA-8a36fcdc-10375,nexsas-images/ai-agency/images/icons/client-logo-10-dark.svg,ai-agency,client-logo,svg,10375,8a36fcdc,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,4
NSA-edc13d5b-10375,nexsas-images/ai-agency/images/icons/client-logo-10.svg,ai-agency,client-logo,svg,10375,edc13d5b,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,5
NSA-e3b02060-4265,nexsas-images/ai-agency/images/icons/client-logo-2.svg,ai-agency,client-logo,svg,4265,e3b02060,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,7
NSA-ddf70c68-6242,nexsas-images/ai-agency/images/icons/client-logo-3.svg,ai-agency,client-logo,svg,6242,ddf70c68,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,7
NSA-e0ff56aa-3892,nexsas-images/ai-agency/images/icons/client-logo-4.svg,ai-agency,client-logo,svg,3892,e0ff56aa,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,7
NSA-199fde65-3772,nexsas-images/ai-agency/images/icons/client-logo-5.svg,ai-agency,client-logo,svg,3772,199fde65,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,7
NSA-2931cf9d-10871,nexsas-images/ai-agency/images/icons/client-logo-6-dark.svg,ai-agency,client-logo,svg,10871,2931cf9d,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,4
NSA-a7bed11d-10875,nexsas-images/ai-agency/images/icons/client-logo-6.svg,ai-agency,client-logo,svg,10875,a7bed11d,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,5
NSA-2dd0ba99-10433,nexsas-images/ai-agency/images/icons/client-logo-7-dark.svg,ai-agency,client-logo,svg,10433,2dd0ba99,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,4
NSA-b1b1b376-10437,nexsas-images/ai-agency/images/icons/client-logo-7.svg,ai-agency,client-logo,svg,10437,b1b1b376,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,5
NSA-7c6e65ed-10787,nexsas-images/ai-agency/images/icons/client-logo-8-dark.svg,ai-agency,client-logo,svg,10787,7c6e65ed,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,4
NSA-489cb73c-10791,nexsas-images/ai-agency/images/icons/client-logo-8.svg,ai-agency,client-logo,svg,10791,489cb73c,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,5
NSA-8fd8bfe3-9864,nexsas-images/ai-agency/images/icons/client-logo-9-dark.svg,ai-agency,client-logo,svg,9864,8fd8bfe3,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,4
NSA-67ba37e2-9864,nexsas-images/ai-agency/images/icons/client-logo-9.svg,ai-agency,client-logo,svg,9864,67ba37e2,replace-before-launch,,nexsas-images-reconstructed.zip,User-supplied NextSaaS source; retain purchase/license documentation.,5
